eNB,TotCell Intervals,Context Drop Rate Den,Context Drop Rate Num,MaxNum VoIP Bear Per Cell,Context Drop NoDS1noEPC Rate Num,Context Drop NoDS1noEPC Rate Den,Context Drop NoDS1noEPC Rate,Data ERAB Drop Rate Num,Data ERAB Drop Rate Den,Data ERAB Drop Rate,Data ERAB Drop NoDS1noSGW Rate Num,Data ERAB Drop NoDS1noSGW Rate Den,Data ERAB Drop NoDS1noSGW Rate,RRC Connection Failure Rate Num,RRC Connection Failure Rate Den,RRC Connection Failure Rate,UE Context Setup Failure Rate Num,UE Context Setup Failure Rate Den,UE Context Setup Failure Rate,Data ERAB Setup Failure Rate Num,Data ERAB Setup Failure Rate Den,Data ERAB Setup Failure Rate,Ave RRC Connected Users Num,Ave RRC Connected Users Den,Ave RRC Connected Users,Max RRC Connected Users,DLBurst User TPUT Mbps Num,DLBurst User TPUT Mbps Den,DLBurst User TPUT Mbps,ULBurst User TPUT Mbps Num,ULBurst User TPUT Mbps Den,ULBurst User TPUT Mbps,Intra eNB Total HOFailure Rate Num,Intra eNB Total HOFailure Rate,Intra eNB Total HOFailure xIFLB Rate Num,Intra eNB Total HOFailure xIFLB Rate,X2 Total Handover Failure Rate Num,X2 Total Handover Failure Rate Den,X2 Total Handover Failure Rate,X2 Total Handover Failure 15 1 Rate Num,X2 Total Handover Failure 15 1 Rate Den,X2 Total Handover Failure 15 1 Rate,S1 interface Handover Failure Rate Num,VoLTE ERAB Setup Failure Rate Num,VoLTE ERAB Setup Failure Rate,VoLTE ERAB Drop Rate Num,VoLTE ERAB Drop Rate Den,VoLTE ERAB Drop Rate,VoLTE ERAB Drop NoDS1noPS Rate Num,VoLTE ERAB Drop NoDS1noPS Rate Den,VoLTE ERAB Drop NoDS1noPS Rate,VoLTE HO Failure Rate Num,VoLTE HO Failure Rate Den,AveNum VoIP Bear Per Cell Num,AveNum VoIP Bear Per Cell,Context Drop Rate
136074_BUCH,24,25828,83,4.128888889,12,25828,0.0005,150,43386,0.0035,11.84027941,43386,0.0003,30,22767,0.0013,7,21409,0.0003,14,43400,0.0003,325929,21600,15.09,177,79051112,12124925,6.52,5036992,7616596,0.66,1,0.0022,1,0.0022,2,2563,0.0008,13,2563,0.0051,2,0,0,2,174,0.0115,0,174,0,25,119,539,0.01,0.0032
136074_BUCH,24,26804,94,4.805555556,21,26804,0.0008,186,45280,0.0041,36.77785339,45280,0.0008,15,23638,0.0006,5,22243,0.0002,9,45287,0.0002,357047,21600,16.53,173,76335320,14190822,5.38,7377464,11160422,0.66,0,0,1,0.0021,5,2553,0.002,12,2553,0.0047,0,0,0,1,199,0.005,1,199,0.005,22,143,598,0.01,0.0035
136074_BUCH,24,30573,88,8.463333333,17,30573,0.0006,439,50893,0.0086,294.5099725,50893,0.0058,12,26582,0.0005,8,24952,0.0003,13,50906,0.0003,397466,21600,18.4,201,79115416,16005751,4.94,6484104,10447541,0.62,1,0.0018,2,0.0041,6,3291,0.0018,27,3291,0.0082,0,0,0,7,247,0.0283,5,247,0.0202,55,152,812,0.01,0.0029
136074_BUCH,24,30274,62,8.383333333,18,30274,0.0006,118,49983,0.0024,28.67999507,49983,0.0006,19,25791,0.0007,5,24349,0.0002,10,49993,0.0002,418303,21600,19.37,217,88112352,23068521,3.82,6701856,8389819,0.8,1,0.0017,2,0.0036,6,3711,0.0016,21,3711,0.0057,0,0,0,2,231,0.0087,0,231,0,32,179,989,0.01,0.002
136074_BUCH,24,31341,64,8.956666667,15,31341,0.0005,152,50961,0.003,53.37699277,50961,0.001,13,26574,0.0005,0,24999,0,2,50963,0,445688,21600,20.63,240,92773784,33419741,2.78,9930784,9242512,1.07,0,0,0,0,13,3971,0.0033,42,3971,0.0106,0,0,0,5,227,0.022,0,227,0,49,202,1102,0.01,0.002
136074_BUCH,24,28166,74,6.533333333,24,28166,0.0009,143,47978,0.003,43.31646444,47978,0.0009,14,24882,0.0006,3,23424,0.0001,4,47982,0.0001,389693,21600,18.04,193,70384560,19705019,3.57,7509000,7862470,0.96,2,0.0047,2,0.005,6,2752,0.0022,23,2752,0.0084,3,0,0,4,202,0.0198,0,202,0,28,158,733,0.01,0.0026
136074_BUCH,24,25938,79,5.074444444,8,25938,0.0003,127,45821,0.0028,4.049930216,45821,0.0001,24,23752,0.001,3,22557,0.0001,5,45826,0.0001,368477,21600,17.06,182,70036480,19066730,3.67,5653256,7718471,0.73,1,0.0035,1,0.0037,4,1799,0.0022,17,1799,0.0094,0,0,0,1,125,0.008,0,125,0,16,124,413,0.01,0.003
136074_BUCH,24,24402,52,6.161111111,12,24402,0.0005,128,44518,0.0029,54.6208488,44518,0.0012,11,22606,0.0005,1,21673,0,4,44520,0.0001,352493,21600,16.32,171,85258208,21651829,3.94,5890528,7317041,0.81,0,0,0,0,1,1483,0.0007,10,1483,0.0067,0,0,0,1,88,0.0114,0,88,0,10,107,372,0.01,0.0021
136074_BUCH,24,23467,38,3.474444444,4,23467,0.0002,78,43785,0.0018,10.54182877,43785,0.0002,11,22066,0.0005,3,21277,0.0001,6,43791,0.0001,323567,21600,14.98,155,84106008,15975054,5.26,5883456,6506882,0.9,0,0,0,0,5,1133,0.0044,9,1133,0.0079,0,0,0,0,53,0,0,53,0,4,81,222,0.01,0.0016
136074_BUCH,24,22115,21,1.854444444,6,22115,0.0003,40,41578,0.001,11.51345493,41578,0.0003,4,21135,0.0002,1,20355,0,2,41580,0,278722,21600,12.9,153,64028624,10685079,5.99,4135144,4940246,0.84,0,0,0,0,4,791,0.0051,9,791,0.0114,23,1,0.0227,1,42,0.0238,0,42,0,2,56,168,0.01,0.0009
